accession	country	location	description	scientific_name	bio_material	culture_collection	specimen_voucher	sample_accession	study_accession	collected_by	collection_date
FJ025396	""	""	Muscina stabulans 12S ribosomal RNA gene, partial sequence; mitochondrial.	Muscina stabulans	""	""	RMBR:102749	""	""	""	""
FJ025397	""	""	Mycophaga testacea 12S ribosomal RNA gene, partial sequence; mitochondrial.	Mycophaga testacea	""	""	RMBR:102750	""	""	""	""
FJ025398	""	""	Mydaea ancilla 12S ribosomal RNA gene, partial sequence; mitochondrial.	Mydaea ancilla	""	""	RMBR:102739	""	""	""	""
FJ025399	""	""	Mydaea urbana 12S ribosomal RNA gene, partial sequence; mitochondrial.	Mydaea urbana	""	""	RMBR:102752	""	""	""	""
FJ025400	""	""	Myospila meditabunda 12S ribosomal RNA gene, partial sequence; mitochondrial.	Myospila meditabunda	""	""	RMBR:102751	""	""	""	""
FJ025401	""	""	Celyphidae sp. SNK-2008 12S ribosomal RNA gene, partial sequence; mitochondrial.	Celyphidae sp. SNK-2008	""	""	RMBR:102769	""	""	""	""
FJ025402	""	""	Hemeromyia anthracina 12S ribosomal RNA gene, partial sequence; mitochondrial.	Hemeromyia anthracina	""	""	RMBR:102770	""	""	""	""
FJ025403	""	""	Paregle coerulescens 12S ribosomal RNA gene, partial sequence; mitochondrial.	Paregle coerulescens	""	""	RMBR:102774	""	""	""	""
FJ025404	""	""	Paykullia maculata 12S ribosomal RNA gene, partial sequence; mitochondrial.	Paykullia maculata	""	""	RMBR:102778	""	""	""	""
FJ025405	""	""	Peckia gulo 12S ribosomal RNA gene, partial sequence; mitochondrial.	Peckia gulo	""	""	RMBR:102783	""	""	""	""
FJ025406	""	""	Pegomya winthemi 12S ribosomal RNA gene, partial sequence; mitochondrial.	Pegomya winthemi	""	""	RMBR:102782	""	""	""	""
FJ025407	""	""	Pegoplata aestiva 12S ribosomal RNA gene, partial sequence; mitochondrial.	Pegoplata aestiva	""	""	RMBR:102771	""	""	""	""
FJ025408	""	""	Pegoplata infirma 12S ribosomal RNA gene, partial sequence; mitochondrial.	Pegoplata infirma	""	""	RMBR:102775	""	""	""	""
FJ025409	""	""	Phaonia pallida 12S ribosomal RNA gene, partial sequence; mitochondrial.	Phaonia pallida	""	""	RMBR:102779	""	""	""	""
FJ025410	""	""	Phaonia subventa 12S ribosomal RNA gene, partial sequence; mitochondrial.	Phaonia subventa	""	""	RMBR:102781	""	""	""	""
FJ025411	""	""	Polietes lardarius 12S ribosomal RNA gene, partial sequence; mitochondrial.	Polietes lardarius	""	""	RMBR:102776	""	""	""	""
FJ025412	""	""	Potamia littoralis 12S ribosomal RNA gene, partial sequence; mitochondrial.	Potamia littoralis	""	""	RMBR:102777	""	""	""	""
FJ025413	""	""	Sarcophaga arizonica 12S ribosomal RNA gene, partial sequence; mitochondrial.	Sarcophaga arizonica	""	""	RMBR:102789	""	""	""	""
FJ025414	""	""	Spilogona caliginosa 12S ribosomal RNA gene, partial sequence; mitochondrial.	Spilogona caliginosa	""	""	RMBR:102785	""	""	""	""
FJ025415	""	""	Spilogona dispar 12S ribosomal RNA gene, partial sequence; mitochondrial.	Spilogona dispar	""	""	RMBR:102787	""	""	""	""
FJ025416	""	""	Tachina ferox 12S ribosomal RNA gene, partial sequence; mitochondrial.	Nowickia ferox	""	""	RMBR:102807	""	""	""	""
FJ025417	""	""	Thricops aculeipes 12S ribosomal RNA gene, partial sequence; mitochondrial.	Thricops aculeipes	""	""	RMBR:102805	""	""	""	""
FJ025418	""	""	Thricops cunctans 12S ribosomal RNA gene, partial sequence; mitochondrial.	Thricops cunctans	""	""	RMBR:102806	""	""	""	""
FJ025419	""	""	Thricops genarum 12S ribosomal RNA gene, partial sequence; mitochondrial.	Thricops genarum	""	""	RMBR:102809	""	""	""	""
FJ025420	""	""	Thricops nigritellus 12S ribosomal RNA gene, partial sequence; mitochondrial.	Thricops nigritellus	""	""	RMBR:102810	""	""	""	""
FJ025421	""	""	Villeneuvia aestuum 12S ribosomal RNA gene, partial sequence; mitochondrial.	Villeneuvia aestuum	""	""	RMBR:102811	""	""	""	""
FJ025422	""	""	Bengalia peuhi 16S ribosomal RNA gene, partial sequence; mitochondrial.	Bengalia peuhi	""	""	RMBR:102672	""	""	""	""
FJ025423	""	""	Botanophila rubrifrons 16S ribosomal RNA gene, partial sequence; mitochondrial.	Botanophila rubrifrons	""	""	RMBR:102673	""	""	""	""
FJ025424	""	""	Calliphora vomitoria 16S ribosomal RNA gene, partial sequence; mitochondrial.	Calliphora vomitoria	""	""	RMBR:102695	""	""	""	""
FJ025425	""	""	Chrysomya megacephala 16S ribosomal RNA gene, partial sequence; mitochondrial.	Chrysomya megacephala	""	""	RMBR:102682	""	""	""	""
FJ025426	""	""	Coenosia testacea 16S ribosomal RNA gene, partial sequence; mitochondrial.	Coenosia testacea	""	""	RMBR:102690	""	""	""	""
FJ025427	""	""	Coenosia tigrina 16S ribosomal RNA gene, partial sequence; mitochondrial.	Coenosia tigrina	""	""	RMBR:102691	""	""	""	""
FJ025428	""	""	Compsomyiops fulvicrura 16S ribosomal RNA gene, partial sequence; mitochondrial.	Compsomyiops fulvicrura	""	""	RMBR:102680	""	""	""	""
FJ025429	""	""	Delia platura 16S ribosomal RNA gene, partial sequence; mitochondrial.	Delia platura	""	""	RMBR:102700	""	""	""	""
FJ025430	""	""	Drymeia alpicola 16S ribosomal RNA gene, partial sequence; mitochondrial.	Drymeia alpicola	""	""	RMBR:102697	""	""	""	""
FJ025431	""	""	Drymeia hamata 16S ribosomal RNA gene, partial sequence; mitochondrial.	Drymeia hamata	""	""	RMBR:102698	""	""	""	""
FJ025432	""	""	Emmesomyia grisea 16S ribosomal RNA gene, partial sequence; mitochondrial.	Emmesomyia grisea	""	""	RMBR:102702	""	""	""	""
FJ025433	""	""	Eudasyphora cyanella 16S ribosomal RNA gene, partial sequence; mitochondrial.	Eudasyphora cyanella	""	""	RMBR:102701	""	""	""	""
FJ025434	""	""	Eurychaeta palpalis 16S ribosomal RNA gene, partial sequence; mitochondrial.	Eurychaeta palpalis	""	""	RMBR:102703	""	""	""	""
FJ025435	""	""	Fannia manicata 16S ribosomal RNA gene, partial sequence; mitochondrial.	Fannia manicata	""	""	RMBR:102706	""	""	""	""
FJ025436	""	""	Haematobia irritans 16S ribosomal RNA gene, partial sequence; mitochondrial.	Haematobia irritans	""	""	RMBR:102727	""	""	""	""
FJ025437	""	""	Haematobosca stimulans 16S ribosomal RNA gene, partial sequence; mitochondrial.	Haematobosca stimulans	""	""	RMBR:102722	""	""	""	""
FJ025438	""	""	Helina celsa 16S ribosomal RNA gene, partial sequence; mitochondrial.	Helina celsa	""	""	RMBR:102713	""	""	""	""
FJ025439	""	""	Helina evecta 16S ribosomal RNA gene, partial sequence; mitochondrial.	Helina evecta	""	""	RMBR:102726	""	""	""	""
FJ025440	""	""	Helina impuncta 16S ribosomal RNA gene, partial sequence; mitochondrial.	Helina impuncta	""	""	RMBR:102718	""	""	""	""
FJ025441	""	""	Hydrotaea cyrtoneurina 16S ribosomal RNA gene, partial sequence; mitochondrial.	Hydrotaea cyrtoneurina	""	""	RMBR:102715	""	""	""	""
FJ025442	""	""	Hydrotaea dentipes 16S ribosomal RNA gene, partial sequence; mitochondrial.	Hydrotaea dentipes	""	""	RMBR:102716	""	""	""	""
FJ025443	""	""	Hydrotaea irritans 16S ribosomal RNA gene, partial sequence; mitochondrial.	Hydrotaea irritans	""	""	RMBR:102719	""	""	""	""
FJ025444	""	""	Hylemya variata 16S ribosomal RNA gene, partial sequence; mitochondrial.	Hylemya variata	""	""	RMBR:102725	""	""	""	""
FJ025445	""	""	Lasiomma latipenne 16S ribosomal RNA gene, partial sequence; mitochondrial.	Lasiomma latipenne	""	""	RMBR:102731	""	""	""	""
FJ025446	""	""	Limnophora exuta 16S ribosomal RNA gene, partial sequence; mitochondrial.	Limnophora exuta	""	""	RMBR:102730	""	""	""	""
FJ025447	""	""	Limnophora maculosa 16S ribosomal RNA gene, partial sequence; mitochondrial.	Limnophora maculosa	""	""	RMBR:102732	""	""	""	""
FJ025448	""	""	Limnophora olympiae 16S ribosomal RNA gene, partial sequence; mitochondrial.	Limnophora olympiae	""	""	RMBR:102733	""	""	""	""
FJ025449	""	""	Limnophora riparia 16S ribosomal RNA gene, partial sequence; mitochondrial.	Limnophora riparia	""	""	RMBR:102734	""	""	""	""
FJ025450	""	""	Lispe tentaculata 16S ribosomal RNA gene, partial sequence; mitochondrial.	Lispe tentaculata	""	""	RMBR:102736	""	""	""	""
FJ025451	""	""	Lucilia caesar 16S ribosomal RNA gene, partial sequence; mitochondrial.	Lucilia caesar	""	""	RMBR:102729	""	""	""	""
FJ025452	""	""	Mesembrina meridiana 16S ribosomal RNA gene, partial sequence; mitochondrial.	Mesembrina meridiana	""	""	RMBR:102744	""	""	""	""
FJ025453	""	""	Mesembrina mystacea 16S ribosomal RNA gene, partial sequence; mitochondrial.	Mesembrina mystacea	""	""	RMBR:102745	""	""	""	""
FJ025454	""	""	Morellia aenescens 16S ribosomal RNA gene, partial sequence; mitochondrial.	Morellia aenescens	""	""	RMBR:102738	""	""	""	""
FJ025455	""	""	Morellia hortorum 16S ribosomal RNA gene, partial sequence; mitochondrial.	Morellia hortorum	""	""	RMBR:102742	""	""	""	""
FJ025456	""	""	Morellia simplex 16S ribosomal RNA gene, partial sequence; mitochondrial.	Morellia simplex	""	""	RMBR:102748	""	""	""	""
FJ025457	""	""	Musca autumnalis 16S ribosomal RNA gene, partial sequence; mitochondrial.	Musca autumnalis	""	""	RMBR:102740	""	""	""	""
FJ025458	""	""	Muscina levida 16S ribosomal RNA gene, partial sequence; mitochondrial.	Muscina levida	""	""	RMBR:102743	""	""	""	""
FJ025459	""	""	Mycophaga testacea 16S ribosomal RNA gene, partial sequence; mitochondrial.	Mycophaga testacea	""	""	RMBR:102750	""	""	""	""
FJ025460	""	""	Mydaea ancilla 16S ribosomal RNA gene, partial sequence; mitochondrial.	Mydaea ancilla	""	""	RMBR:102739	""	""	""	""
FJ025461	""	""	Mydaea rufinervis 16S ribosomal RNA gene, partial sequence; mitochondrial.	Mydaea rufinervis	""	""	RMBR:102747	""	""	""	""
FJ025462	""	""	Myospila meditabunda 16S ribosomal RNA gene, partial sequence; mitochondrial.	Myospila meditabunda	""	""	RMBR:102751	""	""	""	""
FJ025463	""	""	Celyphidae sp. SNK-2008 16S ribosomal RNA gene, partial sequence; mitochondrial.	Celyphidae sp. SNK-2008	""	""	RMBR:102769	""	""	""	""
FJ025464	""	""	Hemeromyia anthracina 16S ribosomal RNA gene, partial sequence; mitochondrial.	Hemeromyia anthracina	""	""	RMBR:102770	""	""	""	""
FJ025465	""	""	Paregle coerulescens 16S ribosomal RNA gene, partial sequence; mitochondrial.	Paregle coerulescens	""	""	RMBR:102774	""	""	""	""
FJ025466	""	""	Paykullia maculata 16S ribosomal RNA gene, partial sequence; mitochondrial.	Paykullia maculata	""	""	RMBR:102778	""	""	""	""
FJ025467	""	""	Peckia gulo 16S ribosomal RNA gene, partial sequence; mitochondrial.	Peckia gulo	""	""	RMBR:102783	""	""	""	""
FJ025468	""	""	Pegomya winthemi 16S ribosomal RNA gene, partial sequence; mitochondrial.	Pegomya winthemi	""	""	RMBR:102782	""	""	""	""
FJ025469	""	""	Phaonia pallida 16S ribosomal RNA gene, partial sequence; mitochondrial.	Phaonia pallida	""	""	RMBR:102779	""	""	""	""
FJ025470	""	""	Phaonia subventa 16S ribosomal RNA gene, partial sequence; mitochondrial.	Phaonia subventa	""	""	RMBR:102781	""	""	""	""
FJ025471	""	""	Polietes lardarius 16S ribosomal RNA gene, partial sequence; mitochondrial.	Polietes lardarius	""	""	RMBR:102776	""	""	""	""
FJ025472	""	""	Potamia littoralis 16S ribosomal RNA gene, partial sequence; mitochondrial.	Potamia littoralis	""	""	RMBR:102777	""	""	""	""
FJ025473	""	""	Sarcophaga arizonica 16S ribosomal RNA gene, partial sequence; mitochondrial.	Sarcophaga arizonica	""	""	RMBR:102789	""	""	""	""
FJ025474	""	""	Spilogona caliginosa 16S ribosomal RNA gene, partial sequence; mitochondrial.	Spilogona caliginosa	""	""	RMBR:102785	""	""	""	""
FJ025475	""	""	Spilogona dispar 16S ribosomal RNA gene, partial sequence; mitochondrial.	Spilogona dispar	""	""	RMBR:102787	""	""	""	""
FJ025476	""	""	Tachina ferox 16S ribosomal RNA gene, partial sequence; mitochondrial.	Nowickia ferox	""	""	RMBR:102807	""	""	""	""
FJ025477	""	""	Thricops aculeipes 16S ribosomal RNA gene, partial sequence; mitochondrial.	Thricops aculeipes	""	""	RMBR:102805	""	""	""	""
FJ025478	""	""	Thricops cunctans 16S ribosomal RNA gene, partial sequence; mitochondrial.	Thricops cunctans	""	""	RMBR:102806	""	""	""	""
FJ025479	""	""	Thricops genarum 16S ribosomal RNA gene, partial sequence; mitochondrial.	Thricops genarum	""	""	RMBR:102809	""	""	""	""
FJ025480	""	""	Thricops nigritellus 16S ribosomal RNA gene, partial sequence; mitochondrial.	Thricops nigritellus	""	""	RMBR:102810	""	""	""	""
FJ025481	""	""	Villeneuvia aestuum 16S ribosomal RNA gene, partial sequence; mitochondrial.	Villeneuvia aestuum	""	""	RMBR:102811	""	""	""	""
FJ025482	""	""	Calliphora vomitoria 18S ribosomal RNA gene, partial sequence.	Calliphora vomitoria	""	""	RMBR:102695	""	""	""	""
FJ025483	""	""	Chrysomya megacephala 18S ribosomal RNA gene, partial sequence.	Chrysomya megacephala	""	""	RMBR:102682	""	""	""	""
FJ025484	""	""	Compsomyiops fulvicrura 18S ribosomal RNA gene, partial sequence.	Compsomyiops fulvicrura	""	""	RMBR:102680	""	""	""	""
FJ025485	""	""	Cordilura pubera 18S ribosomal RNA gene, partial sequence.	Cordilura pubera	""	""	RMBR:102687	""	""	""	""
FJ025486	""	""	Delia platura 18S ribosomal RNA gene, partial sequence.	Delia platura	""	""	RMBR:102700	""	""	""	""
FJ025487	""	""	Emmesomyia grisea 18S ribosomal RNA gene, partial sequence.	Emmesomyia grisea	""	""	RMBR:102702	""	""	""	""
FJ025488	""	""	Eurychaeta palpalis 18S ribosomal RNA gene, partial sequence.	Eurychaeta palpalis	""	""	RMBR:102703	""	""	""	""
FJ025489	""	""	Fannia canicularis 18S ribosomal RNA gene, partial sequence.	Fannia canicularis	""	""	RMBR:102705	""	""	""	""
FJ025490	""	""	Fannia manicata 18S ribosomal RNA gene, partial sequence.	Fannia manicata	""	""	RMBR:102706	""	""	""	""
FJ025491	""	""	Lasiomma latipenne 18S ribosomal RNA gene, partial sequence.	Lasiomma latipenne	""	""	RMBR:102731	""	""	""	""
FJ025492	""	""	Lucilia caesar 18S ribosomal RNA gene, partial sequence.	Lucilia caesar	""	""	RMBR:102729	""	""	""	""
FJ025493	""	""	Mesembrina mystacea 18S ribosomal RNA gene, partial sequence.	Mesembrina mystacea	""	""	RMBR:102745	""	""	""	""
FJ025494	""	""	Mycophaga testacea 18S ribosomal RNA gene, partial sequence.	Mycophaga testacea	""	""	RMBR:102750	""	""	""	""
FJ025495	""	""	Nanna articulata 18S ribosomal RNA gene, partial sequence.	Nanna articulata	""	""	RMBR:102754	""	""	""	""
FJ025496	""	""	Paykullia maculata 18S ribosomal RNA gene, partial sequence.	Paykullia maculata	""	""	RMBR:102778	""	""	""	""
FJ025497	""	""	Pegoplata infirma 18S ribosomal RNA gene, partial sequence.	Pegoplata infirma	""	""	RMBR:102775	""	""	""	""
FJ025498	""	""	Sarcophaga arizonica 18S ribosomal RNA gene, partial sequence.	Sarcophaga arizonica	""	""	RMBR:102789	""	""	""	""
FJ025499	""	""	Stomoxys calcitrans 18S ribosomal RNA gene, partial sequence.	Stomoxys calcitrans	""	""	RMBR:102784	""	""	""	""
FJ025500	""	""	Tachina ferox 18S ribosomal RNA gene, partial sequence.	Nowickia ferox	""	""	RMBR:102807	""	""	""	""
FJ025501	""	""	Bengalia peuhi 28S ribosomal RNA gene, partial sequence.	Bengalia peuhi	""	""	RMBR:102672	""	""	""	""
FJ025502	""	""	Calliphora vomitoria 28S ribosomal RNA gene, partial sequence.	Calliphora vomitoria	""	""	RMBR:102695	""	""	""	""
FJ025503	""	""	Coenosia tigrina 28S ribosomal RNA gene, partial sequence.	Coenosia tigrina	""	""	RMBR:102691	""	""	""	""
FJ025504	""	""	Compsomyiops fulvicrura 28S ribosomal RNA gene, partial sequence.	Compsomyiops fulvicrura	""	""	RMBR:102680	""	""	""	""
FJ025505	""	""	Cordilura ciliata 28S ribosomal RNA gene, partial sequence.	Cordilura ciliata	""	""	RMBR:102678	""	""	""	""
FJ025506	""	""	Cordilura pubera 28S ribosomal RNA gene, partial sequence.	Cordilura pubera	""	""	RMBR:102687	""	""	""	""
FJ025507	""	""	Delia platura 28S ribosomal RNA gene, partial sequence.	Delia platura	""	""	RMBR:102700	""	""	""	""
FJ025508	""	""	Drymeia alpicola 28S ribosomal RNA gene, partial sequence.	Drymeia alpicola	""	""	RMBR:102697	""	""	""	""
FJ025509	""	""	Drymeia hamata 28S ribosomal RNA gene, partial sequence.	Drymeia hamata	""	""	RMBR:102698	""	""	""	""
FJ025510	""	""	Emmesomyia grisea 28S ribosomal RNA gene, partial sequence.	Emmesomyia grisea	""	""	RMBR:102702	""	""	""	""
FJ025511	""	""	Eudasyphora cyanella 28S ribosomal RNA gene, partial sequence.	Eudasyphora cyanella	""	""	RMBR:102701	""	""	""	""
FJ025512	""	""	Eurychaeta palpalis 28S ribosomal RNA gene, partial sequence.	Eurychaeta palpalis	""	""	RMBR:102703	""	""	""	""
FJ025513	""	""	Eutrichota frigida 28S ribosomal RNA gene, partial sequence.	Eutrichota frigida	""	""	RMBR:102704	""	""	""	""
FJ025514	""	""	Fannia canicularis 28S ribosomal RNA gene, partial sequence.	Fannia canicularis	""	""	RMBR:102705	""	""	""	""
FJ025515	""	""	Fannia manicata 28S ribosomal RNA gene, partial sequence.	Fannia manicata	""	""	RMBR:102706	""	""	""	""
FJ025516	""	""	Glossina pallidipes 28S ribosomal RNA gene, partial sequence.	Glossina pallidipes	""	""	RMBR:102712	""	""	""	""
FJ025517	""	""	Gluma nitida 28S ribosomal RNA gene, partial sequence.	Gluma nitida	""	""	RMBR:102710	""	""	""	""
FJ025518	""	""	Haematobosca stimulans 28S ribosomal RNA gene, partial sequence.	Haematobosca stimulans	""	""	RMBR:102722	""	""	""	""
FJ025519	""	""	Hebecnema fumosa 28S ribosomal RNA gene, partial sequence.	Hebecnema fumosa	""	""	RMBR:102717	""	""	""	""
FJ025520	""	""	Hebecnema umbratica 28S ribosomal RNA gene, partial sequence.	Hebecnema umbratica	""	""	RMBR:102723	""	""	""	""
FJ025521	""	""	Helina celsa 28S ribosomal RNA gene, partial sequence.	Helina celsa	""	""	RMBR:102713	""	""	""	""
FJ025522	""	""	Helina evecta 28S ribosomal RNA gene, partial sequence.	Helina evecta	""	""	RMBR:102726	""	""	""	""
FJ025523	""	""	Helina impuncta 28S ribosomal RNA gene, partial sequence.	Helina impuncta	""	""	RMBR:102718	""	""	""	""
FJ025524	""	""	Helina lasiophthalma 28S ribosomal RNA gene, partial sequence.	Helina lasiophthalma	""	""	RMBR:102721	""	""	""	""
FJ025525	""	""	Hydrophoria lancifer 28S ribosomal RNA gene, partial sequence.	Hydrophoria lancifer	""	""	RMBR:102720	""	""	""	""
FJ025526	""	""	Hydrotaea cyrtoneurina 28S ribosomal RNA gene, partial sequence.	Hydrotaea cyrtoneurina	""	""	RMBR:102715	""	""	""	""
FJ025527	""	""	Hydrotaea dentipes 28S ribosomal RNA gene, partial sequence.	Hydrotaea dentipes	""	""	RMBR:102716	""	""	""	""
FJ025528	""	""	Hylemya vagans 28S ribosomal RNA gene, partial sequence.	Hylemya vagans	""	""	RMBR:102724	""	""	""	""
FJ025529	""	""	Lasiomma latipenne 28S ribosomal RNA gene, partial sequence.	Lasiomma latipenne	""	""	RMBR:102731	""	""	""	""
FJ025530	""	""	Limnophora exuta 28S ribosomal RNA gene, partial sequence.	Limnophora exuta	""	""	RMBR:102730	""	""	""	""
FJ025531	""	""	Limnophora maculosa 28S ribosomal RNA gene, partial sequence.	Limnophora maculosa	""	""	RMBR:102732	""	""	""	""
FJ025532	""	""	Limnophora olympiae 28S ribosomal RNA gene, partial sequence.	Limnophora olympiae	""	""	RMBR:102733	""	""	""	""
FJ025533	""	""	Limnophora riparia 28S ribosomal RNA gene, partial sequence.	Limnophora riparia	""	""	RMBR:102734	""	""	""	""
FJ025534	""	""	Lispe tentaculata 28S ribosomal RNA gene, partial sequence.	Lispe tentaculata	""	""	RMBR:102736	""	""	""	""
FJ025535	""	""	Lopa convexa 28S ribosomal RNA gene, partial sequence.	Lopa convexa	""	""	RMBR:102737	""	""	""	""
FJ025536	""	""	Lucilia caesar 28S ribosomal RNA gene, partial sequence.	Lucilia caesar	""	""	RMBR:102729	""	""	""	""
FJ025537	""	""	Mesembrina meridiana 28S ribosomal RNA gene, partial sequence.	Mesembrina meridiana	""	""	RMBR:102744	""	""	""	""
FJ025538	""	""	Mesembrina mystacea 28S ribosomal RNA gene, partial sequence.	Mesembrina mystacea	""	""	RMBR:102745	""	""	""	""
FJ025539	""	""	Morellia aenescens 28S ribosomal RNA gene, partial sequence.	Morellia aenescens	""	""	RMBR:102738	""	""	""	""
FJ025540	""	""	Morellia hortorum 28S ribosomal RNA gene, partial sequence.	Morellia hortorum	""	""	RMBR:102742	""	""	""	""
FJ025541	""	""	Morellia simplex 28S ribosomal RNA gene, partial sequence.	Morellia simplex	""	""	RMBR:102748	""	""	""	""
FJ025542	""	""	Musca autumnalis 28S ribosomal RNA gene, partial sequence.	Musca autumnalis	""	""	RMBR:102740	""	""	""	""
FJ025543	""	""	Musca domestica 28S ribosomal RNA gene, partial sequence.	Musca domestica	""	""	RMBR:102741	""	""	""	""
FJ025544	""	""	Muscina levida 28S ribosomal RNA gene, partial sequence.	Muscina levida	""	""	RMBR:102743	""	""	""	""
FJ025545	""	""	Muscina stabulans 28S ribosomal RNA gene, partial sequence.	Muscina stabulans	""	""	RMBR:102749	""	""	""	""
FJ025546	""	""	Mycophaga testacea 28S ribosomal RNA gene, partial sequence.	Mycophaga testacea	""	""	RMBR:102750	""	""	""	""
FJ025547	""	""	Mydaea ancilla 28S ribosomal RNA gene, partial sequence.	Mydaea ancilla	""	""	RMBR:102739	""	""	""	""
FJ025548	""	""	Mydaea urbana 28S ribosomal RNA gene, partial sequence.	Mydaea urbana	""	""	RMBR:102752	""	""	""	""
FJ025549	""	""	Myospila meditabunda 28S ribosomal RNA gene, partial sequence.	Myospila meditabunda	""	""	RMBR:102751	""	""	""	""
FJ025550	""	""	Nanna articulata 28S ribosomal RNA gene, partial sequence.	Nanna articulata	""	""	RMBR:102754	""	""	""	""
FJ025551	""	""	Ornithomya biloba 28S ribosomal RNA gene, partial sequence.	Ornithomya biloba	""	""	RMBR:102768	""	""	""	""
FJ025552	""	""	Celyphidae sp. SNK-2008 28S ribosomal RNA gene, partial sequence.	Celyphidae sp. SNK-2008	""	""	RMBR:102769	""	""	""	""
FJ025553	""	""	Hemeromyia anthracina 28S ribosomal RNA gene, partial sequence.	Hemeromyia anthracina	""	""	RMBR:102770	""	""	""	""
FJ025554	""	""	Pegoplata infirma 28S ribosomal RNA gene, partial sequence.	Pegoplata infirma	""	""	RMBR:102775	""	""	""	""
FJ025555	""	""	Phaonia pallida 28S ribosomal RNA gene, partial sequence.	Phaonia pallida	""	""	RMBR:102779	""	""	""	""
FJ025556	""	""	Phaonia subventa 28S ribosomal RNA gene, partial sequence.	Phaonia subventa	""	""	RMBR:102781	""	""	""	""
FJ025557	""	""	Polietes lardarius 28S ribosomal RNA gene, partial sequence.	Polietes lardarius	""	""	RMBR:102776	""	""	""	""
FJ025558	""	""	Potamia littoralis 28S ribosomal RNA gene, partial sequence.	Potamia littoralis	""	""	RMBR:102777	""	""	""	""
FJ025559	""	""	Sarcophaga arizonica 28S ribosomal RNA gene, partial sequence.	Sarcophaga arizonica	""	""	RMBR:102789	""	""	""	""
FJ025560	""	""	Spilogona dispar 28S ribosomal RNA gene, partial sequence.	Spilogona dispar	""	""	RMBR:102787	""	""	""	""
FJ025561	""	""	Stomoxys calcitrans 28S ribosomal RNA gene, partial sequence.	Stomoxys calcitrans	""	""	RMBR:102784	""	""	""	""
FJ025562	""	""	Tachina ferox 28S ribosomal RNA gene, partial sequence.	Nowickia ferox	""	""	RMBR:102807	""	""	""	""
FJ025563	""	""	Thricops aculeipes 28S ribosomal RNA gene, partial sequence.	Thricops aculeipes	""	""	RMBR:102805	""	""	""	""
FJ025564	""	""	Thricops cunctans 28S ribosomal RNA gene, partial sequence.	Thricops cunctans	""	""	RMBR:102806	""	""	""	""
FJ025565	""	""	Thricops genarum 28S ribosomal RNA gene, partial sequence.	Thricops genarum	""	""	RMBR:102809	""	""	""	""
FJ025566	""	""	Bengalia peuhi CAD gene, partial cds.	Bengalia peuhi	""	""	RMBR:102672	""	""	""	""
FJ025567	""	""	Calliphora vomitoria CAD gene, partial cds.	Calliphora vomitoria	""	""	RMBR:102695	""	""	""	""
FJ025568	""	""	Celyphidae sp. SNK-2008 CAD gene, partial cds.	Celyphidae sp. SNK-2008	""	""	RMBR:102769	""	""	""	""
FJ025569	""	""	Coenosia testacea CAD gene, partial cds.	Coenosia testacea	""	""	RMBR:102690	""	""	""	""
FJ025570	""	""	Coenosia tigrina CAD gene, partial cds.	Coenosia tigrina	""	""	RMBR:102691	""	""	""	""
FJ025571	""	""	Compsomyiops fulvicrura CAD gene, partial cds.	Compsomyiops fulvicrura	""	""	RMBR:102680	""	""	""	""
FJ025572	""	""	Drymeia alpicola CAD gene, partial cds.	Drymeia alpicola	""	""	RMBR:102697	""	""	""	""
FJ025573	""	""	Drymeia hamata CAD gene, partial cds.	Drymeia hamata	""	""	RMBR:102698	""	""	""	""
FJ025574	""	""	Eudasyphora cyanella CAD gene, partial cds.	Eudasyphora cyanella	""	""	RMBR:102701	""	""	""	""
FJ025575	""	""	Eurychaeta palpalis CAD gene, partial cds.	Eurychaeta palpalis	""	""	RMBR:102703	""	""	""	""
FJ025576	""	""	Haematobosca stimulans CAD gene, partial cds.	Haematobosca stimulans	""	""	RMBR:102722	""	""	""	""
FJ025577	""	""	Helina lasiophthalma CAD gene, partial cds.	Helina lasiophthalma	""	""	RMBR:102721	""	""	""	""
FJ025578	""	""	Hydrotaea cyrtoneurina CAD gene, partial cds.	Hydrotaea cyrtoneurina	""	""	RMBR:102715	""	""	""	""
FJ025579	""	""	Hydrotaea dentipes CAD gene, partial cds.	Hydrotaea dentipes	""	""	RMBR:102716	""	""	""	""
FJ025580	""	""	Hydrotaea irritans CAD gene, partial cds.	Hydrotaea irritans	""	""	RMBR:102719	""	""	""	""
FJ025581	""	""	Limnophora exuta CAD gene, partial cds.	Limnophora exuta	""	""	RMBR:102730	""	""	""	""
FJ025582	""	""	Limnophora maculosa CAD gene, partial cds.	Limnophora maculosa	""	""	RMBR:102732	""	""	""	""
FJ025583	""	""	Limnophora olympiae CAD gene, partial cds.	Limnophora olympiae	""	""	RMBR:102733	""	""	""	""
FJ025584	""	""	Limnophora riparia CAD gene, partial cds.	Limnophora riparia	""	""	RMBR:102734	""	""	""	""
FJ025585	""	""	Lispe tentaculata CAD gene, partial cds.	Lispe tentaculata	""	""	RMBR:102736	""	""	""	""
FJ025586	""	""	Mesembrina meridiana CAD gene, partial cds.	Mesembrina meridiana	""	""	RMBR:102744	""	""	""	""
FJ025587	""	""	Morellia aenescens CAD gene, partial cds.	Morellia aenescens	""	""	RMBR:102738	""	""	""	""
FJ025588	""	""	Morellia hortorum CAD gene, partial cds.	Morellia hortorum	""	""	RMBR:102742	""	""	""	""
